img0,img1,mean_conf,mean_err(px),AUC@1,AUC@2,AUC@5,AUC@10
Q_009_00068.JPG,Q_009_00070.JPG,0.8078,2.997,0.001,0.004,0.996,0.999
Q_009_00069.JPG,Q_009_00071.JPG,0.8109,2.938,0.001,0.004,0.996,0.999
Q_009_00070.JPG,Q_009_00072.JPG,0.8180,2.885,0.001,0.004,0.996,0.999
Q_009_00071.JPG,Q_009_00073.JPG,0.7895,2.894,0.000,0.004,0.996,0.999
Q_009_00072.JPG,Q_009_00074.JPG,0.8038,3.010,0.001,0.004,0.996,0.999
Q_009_00073.JPG,Q_009_00075.JPG,0.8269,3.015,0.001,0.004,0.996,0.999
Q_009_00074.JPG,Q_009_00076.JPG,0.8483,3.017,0.000,0.004,0.996,0.999
Q_009_00075.JPG,Q_009_00077.JPG,0.9281,3.025,0.001,0.004,0.996,0.999
Q_009_00076.JPG,Q_009_00078.JPG,0.9417,3.023,0.001,0.004,0.996,0.998
Q_009_00077.JPG,Q_009_00079.JPG,0.9527,3.106,0.001,0.004,0.996,0.997
Q_009_00078.JPG,Q_009_00080.JPG,0.8973,3.995,0.001,0.004,0.835,0.999
Q_009_00079.JPG,Q_009_00081.JPG,0.7366,3.238,0.000,0.000,0.920,0.998
Q_009_00080.JPG,Q_009_00082.JPG,0.9040,3.692,0.001,0.003,0.945,0.999
Q_009_00081.JPG,Q_009_00083.JPG,0.9525,4.139,0.001,0.003,0.762,0.999
Q_009_00082.JPG,Q_009_00084.JPG,0.8007,4.339,0.000,0.000,0.665,0.998
Q_009_00083.JPG,Q_009_00085.JPG,0.7704,3.213,0.000,0.312,1.000,1.000
Q_009_00084.JPG,Q_009_00086.JPG,0.9682,3.151,0.001,0.004,0.996,0.999
Q_009_00085.JPG,Q_009_00087.JPG,0.9725,2.983,0.000,0.004,0.996,0.998
Q_009_00086.JPG,Q_009_00088.JPG,0.9738,2.923,0.001,0.004,0.996,0.998
Q_009_00087.JPG,Q_009_00089.JPG,0.9738,2.908,0.001,0.004,0.996,0.998
Q_009_00088.JPG,Q_009_00090.JPG,0.9544,2.910,0.001,0.004,0.996,0.998
Q_009_00089.JPG,Q_009_00091.JPG,0.9598,2.909,0.001,0.004,0.996,0.999
Q_009_00090.JPG,Q_009_00092.JPG,0.9621,2.947,0.001,0.004,0.996,0.999
Q_009_00091.JPG,Q_009_00093.JPG,0.9745,2.951,0.001,0.004,0.996,0.999
Q_009_00092.JPG,Q_009_00094.JPG,0.9657,2.932,0.001,0.004,0.996,0.999
Q_009_00093.JPG,Q_009_00095.JPG,0.9746,2.936,0.001,0.004,0.996,0.998
Q_009_00094.JPG,Q_009_00096.JPG,0.9583,2.939,0.001,0.004,0.996,0.998
Q_009_00095.JPG,Q_009_00097.JPG,0.9597,2.922,0.001,0.004,0.996,0.998
Q_009_00096.JPG,Q_009_00098.JPG,0.9614,2.945,0.001,0.004,0.996,0.998
Q_009_00097.JPG,Q_009_00099.JPG,0.9784,2.949,0.001,0.004,0.996,0.998
Q_009_00098.JPG,Q_009_00100.JPG,0.9797,2.940,0.001,0.004,0.996,0.997
Q_009_00099.JPG,Q_009_00101.JPG,0.9842,2.957,0.000,0.004,0.996,0.997
Q_009_00100.JPG,Q_009_00102.JPG,0.9829,3.004,0.001,0.004,0.996,0.997
Q_009_00101.JPG,Q_009_00103.JPG,0.9715,2.971,0.001,0.004,0.996,0.997
Q_009_00102.JPG,Q_009_00104.JPG,0.9788,2.986,0.001,0.004,0.996,0.997
Q_009_00103.JPG,Q_009_00105.JPG,0.9783,2.958,0.001,0.004,0.996,0.997
Q_009_00104.JPG,Q_009_00106.JPG,0.9703,2.936,0.001,0.004,0.996,0.997
Q_009_00105.JPG,Q_009_00107.JPG,0.9478,3.015,0.000,0.004,0.997,0.997
Q_009_00106.JPG,Q_009_00108.JPG,0.9653,2.962,0.001,0.004,0.996,0.997
Q_009_00107.JPG,Q_009_00109.JPG,0.9795,2.971,0.001,0.004,0.996,0.997
Q_009_00108.JPG,Q_009_00110.JPG,0.9795,2.991,0.001,0.004,0.996,0.997
Q_009_00109.JPG,Q_009_00111.JPG,0.9790,3.006,0.001,0.004,0.996,0.997
Q_009_00110.JPG,Q_009_00112.JPG,0.9737,2.981,0.001,0.004,0.996,0.998
Q_009_00111.JPG,Q_009_00113.JPG,0.9825,2.961,0.001,0.004,0.996,0.998
Q_009_00112.JPG,Q_009_00114.JPG,0.9817,2.928,0.001,0.004,0.996,0.997
Q_009_00113.JPG,Q_009_00115.JPG,0.9859,2.944,0.001,0.004,0.996,0.997
Q_009_00114.JPG,Q_009_00116.JPG,0.9860,2.961,0.001,0.004,0.996,0.997
Q_009_00115.JPG,Q_009_00117.JPG,0.9891,2.947,0.001,0.004,0.996,0.997
Q_009_00116.JPG,Q_009_00118.JPG,0.9870,2.949,0.001,0.004,0.996,0.998
Q_009_00117.JPG,Q_009_00119.JPG,0.9840,2.944,0.001,0.004,0.996,0.998
Q_009_00118.JPG,Q_009_00120.JPG,0.9835,2.938,0.001,0.004,0.996,0.997
Q_009_00119.JPG,Q_009_00121.JPG,0.8321,2.944,0.001,0.004,0.996,0.999
Q_009_00120.JPG,Q_009_00122.JPG,0.7619,3.277,0.001,0.004,0.997,0.999
Q_009_00121.JPG,Q_009_00123.JPG,0.8113,3.203,0.000,0.000,0.997,0.998
Q_009_00122.JPG,Q_009_00124.JPG,0.9225,3.182,0.001,0.004,0.996,0.999
Q_009_00123.JPG,Q_009_00125.JPG,0.7585,3.281,0.000,0.000,1.000,1.000
Q_009_00124.JPG,Q_009_00126.JPG,0.8855,2.872,0.001,0.004,0.996,0.999
Q_009_00125.JPG,Q_009_00127.JPG,0.9732,3.001,0.001,0.004,0.996,0.997
Q_009_00126.JPG,Q_009_00128.JPG,0.9845,3.017,0.001,0.005,0.996,0.997
Q_009_00127.JPG,Q_009_00129.JPG,0.9751,3.058,0.001,0.005,0.995,0.997
Q_009_00128.JPG,Q_009_00130.JPG,0.9155,2.991,0.001,0.005,0.996,0.997
Q_009_00129.JPG,Q_009_00131.JPG,0.9016,2.956,0.001,0.004,0.996,0.997
Q_009_00130.JPG,Q_009_00132.JPG,0.8315,2.978,0.001,0.004,0.996,0.997
Q_009_00131.JPG,Q_009_00133.JPG,0.8627,2.972,0.001,0.004,0.996,0.997
Q_009_00132.JPG,Q_009_00134.JPG,0.9074,2.935,0.001,0.004,0.996,0.997
Q_009_00133.JPG,Q_009_00135.JPG,0.9626,2.949,0.001,0.004,0.996,0.997
Q_009_00134.JPG,Q_009_00136.JPG,0.9032,2.891,0.001,0.004,0.996,0.998
Q_009_00135.JPG,Q_009_00137.JPG,0.9194,2.897,0.001,0.004,0.996,0.998
Q_009_00136.JPG,Q_009_00138.JPG,0.8610,3.119,0.001,0.004,0.985,0.998
Q_009_00137.JPG,Q_009_00139.JPG,0.8143,3.274,0.001,0.003,0.997,0.999
Q_009_00138.JPG,Q_009_00140.JPG,0.8628,3.236,0.001,0.004,0.997,0.998
Q_009_00139.JPG,Q_009_00141.JPG,0.9315,2.947,0.001,0.004,0.995,0.998
Q_009_00140.JPG,Q_009_00142.JPG,0.9340,2.949,0.001,0.004,0.996,0.997
Q_009_00141.JPG,Q_009_00143.JPG,0.9191,2.940,0.001,0.004,0.996,0.997
Q_009_00142.JPG,Q_009_00144.JPG,0.9304,2.996,0.001,0.004,0.995,0.997
Q_009_00143.JPG,Q_009_00145.JPG,0.9399,2.959,0.001,0.004,0.996,0.997
Q_009_00144.JPG,Q_009_00146.JPG,0.9569,2.967,0.000,0.004,0.996,0.997
Q_009_00145.JPG,Q_009_00147.JPG,0.9564,2.981,0.001,0.004,0.996,0.997
Q_009_00146.JPG,Q_009_00148.JPG,0.9558,3.005,0.001,0.004,0.996,0.996
Q_009_00147.JPG,Q_009_00149.JPG,0.9533,3.034,0.001,0.004,0.996,0.997
Q_009_00148.JPG,Q_009_00150.JPG,0.9573,3.054,0.001,0.004,0.995,0.997
Q_009_00149.JPG,Q_009_00151.JPG,0.9559,3.044,0.001,0.004,0.995,0.997
Q_009_00150.JPG,Q_009_00152.JPG,0.9258,3.021,0.000,0.004,0.996,0.997
Q_009_00151.JPG,Q_009_00153.JPG,0.9151,2.965,0.001,0.004,0.995,0.997
Q_009_00152.JPG,Q_009_00154.JPG,0.9109,2.899,0.001,0.004,0.996,0.997
Q_009_00153.JPG,Q_009_00155.JPG,0.9290,2.941,0.001,0.004,0.996,0.997
Q_009_00154.JPG,Q_009_00156.JPG,0.9650,2.964,0.001,0.004,0.995,0.997
Q_009_00155.JPG,Q_009_00157.JPG,0.9835,2.965,0.001,0.004,0.996,0.997
Q_009_00156.JPG,Q_009_00158.JPG,0.9929,3.006,0.001,0.004,0.996,0.997
Q_009_00157.JPG,Q_009_00159.JPG,0.9915,3.010,0.001,0.004,0.996,0.997
Q_009_00158.JPG,Q_009_00160.JPG,0.9907,3.005,0.001,0.004,0.996,0.997
Q_009_00159.JPG,Q_009_00161.JPG,0.9934,3.034,0.001,0.004,0.995,0.997
Q_009_00160.JPG,Q_009_00162.JPG,0.9550,3.434,0.001,0.004,0.898,0.997
Q_009_00161.JPG,Q_009_00163.JPG,0.7838,4.387,0.001,0.008,0.664,0.998
Q_009_00162.JPG,Q_009_00164.JPG,0.7861,3.351,0.000,0.002,0.967,0.999
Q_009_00163.JPG,Q_009_00165.JPG,0.7794,4.084,0.001,0.004,0.664,0.982
Q_009_00164.JPG,Q_009_00166.JPG,0.7753,4.916,0.000,0.011,0.685,0.947
Q_009_00165.JPG,Q_009_00167.JPG,0.7398,3.499,0.002,0.010,0.910,0.999
Q_009_00166.JPG,Q_009_00168.JPG,0.8863,3.118,0.001,0.004,0.996,0.999
Q_009_00167.JPG,Q_009_00169.JPG,0.9322,2.946,0.001,0.004,0.996,0.999
Q_009_00168.JPG,Q_009_00170.JPG,0.9274,2.908,0.001,0.004,0.996,0.997
Q_009_00169.JPG,Q_009_00171.JPG,0.9405,2.892,0.000,0.003,0.996,0.997
Q_009_00170.JPG,Q_009_00172.JPG,0.9659,2.947,0.001,0.003,0.996,0.997
Q_009_00171.JPG,Q_009_00173.JPG,0.9498,2.943,0.000,0.003,0.996,0.997
Q_009_00172.JPG,Q_009_00174.JPG,0.9466,2.899,0.000,0.003,0.996,0.997
Q_009_00173.JPG,Q_009_00175.JPG,0.9568,2.919,0.001,0.004,0.996,0.997
Q_009_00174.JPG,Q_009_00176.JPG,0.9713,2.915,0.001,0.004,0.996,0.998
Q_009_00175.JPG,Q_009_00177.JPG,0.9579,2.913,0.001,0.004,0.996,0.998
Q_009_00176.JPG,Q_009_00178.JPG,0.9679,2.926,0.001,0.004,0.996,0.998
Q_009_00177.JPG,Q_009_00179.JPG,0.9659,2.926,0.001,0.004,0.996,0.997
Q_009_00178.JPG,Q_009_00180.JPG,0.9691,2.898,0.000,0.003,0.996,0.997
Q_009_00179.JPG,Q_009_00181.JPG,0.9646,2.898,0.000,0.003,0.996,0.997
Q_009_00180.JPG,Q_009_00182.JPG,0.9819,2.909,0.000,0.003,0.996,0.997
Q_009_00181.JPG,Q_009_00183.JPG,0.9840,2.901,0.001,0.003,0.996,0.997
Q_009_00182.JPG,Q_009_00184.JPG,0.9815,2.903,0.000,0.003,0.996,0.997
Q_009_00183.JPG,Q_009_00185.JPG,0.9809,2.934,0.001,0.003,0.996,0.997
Q_009_00184.JPG,Q_009_00186.JPG,0.9794,2.962,0.000,0.003,0.997,0.997
Q_009_00185.JPG,Q_009_00187.JPG,0.9705,2.970,0.000,0.003,0.996,0.997
Q_009_00186.JPG,Q_009_00188.JPG,0.9442,3.047,0.001,0.004,0.996,0.997
Q_009_00187.JPG,Q_009_00189.JPG,0.9590,3.024,0.001,0.004,0.996,0.997
Q_009_00188.JPG,Q_009_00190.JPG,0.9681,3.010,0.001,0.004,0.996,0.997
Q_009_00189.JPG,Q_009_00191.JPG,0.9669,3.035,0.001,0.004,0.996,0.997
Q_009_00190.JPG,Q_009_00192.JPG,0.9504,3.002,0.001,0.004,0.996,0.997
Q_009_00191.JPG,Q_009_00193.JPG,0.9436,2.986,0.001,0.004,0.996,0.997
Q_009_00192.JPG,Q_009_00194.JPG,0.9732,2.920,0.001,0.004,0.996,0.998
Q_009_00193.JPG,Q_009_00195.JPG,0.9752,2.976,0.001,0.004,0.996,0.998
Q_009_00194.JPG,Q_009_00196.JPG,0.9710,2.957,0.001,0.004,0.996,0.998
Q_009_00195.JPG,Q_009_00197.JPG,0.9751,2.947,0.000,0.004,0.996,0.998
Q_009_00196.JPG,Q_009_00198.JPG,0.9266,2.937,0.001,0.004,0.995,0.997
