img0,img1,mean_conf,mean_err,AUC@1,AUC@3,AUC@5,AUC@10,AUC@25,Prec@3px
H_009_00004.JPG,H_009_00006.JPG,2.4277029037475586,0.9354727655428521,0.7897377014160156,0.9906463623046875,0.9980125427246094,0.9996376037597656,0.9998703002929688,0.9906463623046875
H_009_00005.JPG,H_009_00007.JPG,1.7560065984725952,0.9328513539941388,0.7940521240234375,0.9921493530273438,0.9979476928710938,0.9995918273925781,0.9999122619628906,0.9921493530273438
H_009_00006.JPG,H_009_00008.JPG,1.3348456621170044,0.9800315724999822,0.8861846923828125,0.9915809631347656,0.9958267211914062,0.9980926513671875,0.9992713928222656,0.9915809631347656
H_009_00007.JPG,H_009_00009.JPG,1.7996902465820312,1.4572420129138193,0.8739013671875,0.9642982482910156,0.9789314270019531,0.9895439147949219,0.9958534240722656,0.9642982482910156
H_009_00008.JPG,H_009_00010.JPG,1.0353848934173584,3.338169130762784,0.7503929138183594,0.9316596984863281,0.9587478637695312,0.9785385131835938,0.9905166625976562,0.9316596984863281
H_009_00009.JPG,H_009_00011.JPG,1.264509677886963,0.92030933899566,0.7927093505859375,0.9925346374511719,0.9981460571289062,0.9996223449707031,0.9998435974121094,0.9925346374511719
H_009_00010.JPG,H_009_00012.JPG,1.2557460069656372,0.9122892936369416,0.8169441223144531,0.9983291625976562,0.9988746643066406,0.9994049072265625,0.9996795654296875,0.9983291625976562
H_009_00011.JPG,H_009_00013.JPG,1.113195538520813,0.9066085304372462,0.8313255310058594,0.9985580444335938,0.9990234375,0.9995002746582031,0.9997634887695312,0.9985580444335938
H_009_00012.JPG,H_009_00014.JPG,1.1539084911346436,0.8838596647155139,0.8317680358886719,0.9985237121582031,0.9990768432617188,0.9995536804199219,0.9998359680175781,0.9985237121582031
H_009_00013.JPG,H_009_00015.JPG,1.7241880893707275,0.8990829731337772,0.809112548828125,0.9982643127441406,0.9993171691894531,0.9996795654296875,0.9998703002929688,0.9982643127441406
